新聞頻道,#genre#
中視菁采台,http://176868.cloud/317406e9f14d7ecfec4dc40bcb9c8dd8/ea967d623d200d0ff4e50afcadd7b58e/05d4067cf969ef27105a2cb702978b7e/index.m3u8
中視菁采台,http://176868.cloud/5d5040228abba76b75bd9dbe6a7141c4/ea967d623d200d0ff4e50afcadd7b58e/09a4f35a0f3d818ce71d31c9aa6e2612/index.m3u8
中視菁采台,http://176868.cloud/ac63db7045a664a7b96e279a73ca93ca/ea967d623d200d0ff4e50afcadd7b58e/f3815aee347f4481a29ba61f68cb415d/index.m3u8
中視經典台,http://176868.cloud/a22e2e14db94799cc9dde69df09984a0/ea967d623d200d0ff4e50afcadd7b58e/71a89f2966ac8a932f9af7821dad6841/index.m3u8
中視經典台,http://176868.cloud/cf03f1138eb9502fd5052882f594a697/ea967d623d200d0ff4e50afcadd7b58e/522546ae089253daa002fd180dc57601/index.m3u8
中視經典台,http://176868.cloud/4c1b7fa510d64a37fdf2b36bc8b07cb2/ea967d623d200d0ff4e50afcadd7b58e/cd32f422ce00c728010721d230e99111/index.m3u8
民視綜藝台,http://176868.cloud/45f8791794e3b6c3aff493724ebe0015/ea967d623d200d0ff4e50afcadd7b58e/cb16a02180f02dd3ad2c6c46697799b7/index.m3u8
民視綜藝台,http://176868.cloud/d598d338c4baf42c9dbdbbf357a2e89d/ea967d623d200d0ff4e50afcadd7b58e/7e5db4b9b0dad4b9ab58408e35b051e1/index.m3u8
民視綜藝台,http://176868.cloud/9dd771e207143a2228fb657288d2563f/ea967d623d200d0ff4e50afcadd7b58e/fa7bd0220f17a7445341ff40c4994b78/index.m3u8
民視綜藝台,http://176868.cloud/9ca3907a47ca73540a76279bfaa7e9e1/ea967d623d200d0ff4e50afcadd7b58e/90a523ab6e5ce00c4162735fc96e6ec6/index.m3u8
民視旅遊台 ,http://176868.cloud/6a9a80978d2f45d0a77bf91f6b482204/ea967d623d200d0ff4e50afcadd7b58e/449664b5d30f19a8cf555b5992c5b1b1/index.m3u8
民視旅遊台,http://176868.cloud/2f302c50f2bf33b511533f6c6408aa42/ea967d623d200d0ff4e50afcadd7b58e/c9e09e4b7f11003debd001e3ff42e900/index.m3u8
民視旅遊台,http://176868.cloud/65bea06133548b37b8b85571dcc425d7/ea967d623d200d0ff4e50afcadd7b58e/7df9079917cb92c53d92c2c5f70f65fb/index.m3u8
民視影劇台,http://176868.cloud/fb42bde86c90652f21e6db82a97f135c/ea967d623d200d0ff4e50afcadd7b58e/5f62744fb53df37582fc75ec9161a939/index.m3u8
民視影劇台,http://176868.cloud/6fdfdc198d095704a65fbfe74d01f1ab/ea967d623d200d0ff4e50afcadd7b58e/0c46f30f963ebd6873fd9b4f4b0e67ca/index.m3u8
民視影劇台,http://176868.cloud/efa7a02dd8ba18f527ba2145197f5ebd/ea967d623d200d0ff4e50afcadd7b58e/509e0b4fae6433cd2fb52357c54a5d5f/index.m3u8
東森綜合,http://176868.cloud/9c8f9d2d8f05b13f8f953c8a153057f0/ea967d623d200d0ff4e50afcadd7b58e/7f02b81eb2fb91a1f61f8118ce12128c/index.m3u8
東森綜合,http://176868.cloud/eff32b25b07d3c822888694fd6f5b3e1/ea967d623d200d0ff4e50afcadd7b58e/7f8e77c3c97a24aac8242cda3093fa92/index.m3u8
東森超視,http://176868.cloud/5955619a8fd3388809fc3bc6aee794cc/ea967d623d200d0ff4e50afcadd7b58e/95a67e23363d75169db60873961b3a22/index.m3u8
大愛電視,http://176868.cloud/bf1374f4d28b8b105b4e91cc77f39b29/ea967d623d200d0ff4e50afcadd7b58e/690ee53ca3e42658e61924030fe42a77/index.m3u8
大愛電視,http://176868.cloud/cd332c6a5082402cd8d94e31b6bc90df/ea967d623d200d0ff4e50afcadd7b58e/dcd98ffda897fc63526c8a6e78491bb5/index.m3u8
大愛電視,http://176868.cloud/822ecf90e0ac584547b173514a2abc1c/ea967d623d200d0ff4e50afcadd7b58e/835bce6614d68f5882d6b9fa97a5b07c/index.m3u8
大愛電視,http://176868.cloud/00909cb267dacb406b31703efa32e868/ea967d623d200d0ff4e50afcadd7b58e/3fbcf924c53eafae83b0654de1e1992d/index.m3u8
大愛電視,http://176868.cloud/6851133b82260ef87cb9cb192c9f640f/ea967d623d200d0ff4e50afcadd7b58e/631e3447b09db67faaa5a2b4f28bac29/index.m3u8
大愛二台,http://176868.cloud/0f3d2c8dfc83a46f7e06841c05957064/ea967d623d200d0ff4e50afcadd7b58e/00ecf8633304bac3b1edd784e4312733/index.m3u8
大愛二台,http://176868.cloud/1474792a77b5c3154330b6f13337efc8/ea967d623d200d0ff4e50afcadd7b58e/e660c49a77d514d70ec5f1276f608ac6/index.m3u8
大愛二台,http://176868.cloud/a65b1c067fd2a3abb612546d8eddb5f0/ea967d623d200d0ff4e50afcadd7b58e/53c307fbc06af28fff626daa2b011e0b/index.m3u8
大愛二台,http://176868.cloud/6c2eb35a93e518678c9af115ecd714ce/ea967d623d200d0ff4e50afcadd7b58e/1ef56b35cf8b510e4722ab4bbe8042b6/index.m3u8
大愛二台,http://176868.cloud/61f5f2cc94b89cd0a025c96922a1fee1/ea967d623d200d0ff4e50afcadd7b58e/325a0b4bef7ce8c9a0eca1868acd1823/index.m3u8
TVBS歡樂台,http://176868.cloud/cd0ad5f5edc96d36332503b4083d0902/ea967d623d200d0ff4e50afcadd7b58e/8d958bdd188bd8e5228f423086852a3b/index.m3u8
TVBS歡樂台,http://176868.cloud/440a94588de5eef5aa434ba1f5f506c2/ea967d623d200d0ff4e50afcadd7b58e/330702bd9b8cbc89f8d1f6dfd9491f44/index.m3u8
TVBS歡樂台,http://176868.cloud/062702a576695920ca324c14f9b51ca2/ea967d623d200d0ff4e50afcadd7b58e/4f0d4dc6d058c630bae6cfef9ec399be/index.m3u8
TVBS歡樂台,http://176868.cloud/deeb9f0d3023ec2049ef985b45f8e118/ea967d623d200d0ff4e50afcadd7b58e/1a24525ef5b1459f24b3a6733e92a254/index.m3u8
TVBS歡樂台,http://176868.cloud/1c2ac369a505bb3aed2d219fb5f30726/ea967d623d200d0ff4e50afcadd7b58e/f8a593c1521567c16a53afea81611086/index.m3u8
TVBS歡樂台,http://176868.cloud/a842fed46b13d6af715b1d0741e00f5f/ea967d623d200d0ff4e50afcadd7b58e/8fc8681c481cc708bd309d4cae8593ac/index.m3u8
TVBS綜藝台,http://176868.cloud/e58c8f735cceb7535aec4d9f21e8711d/ea967d623d200d0ff4e50afcadd7b58e/b0201edb88939d1d74fac54971fccc12/index.m3u8
TVBS台劇台,http://176868.cloud/bb84e9ec4dec6081afa21d3e766ea508/ea967d623d200d0ff4e50afcadd7b58e/b8e2bc4459eb722939a7669f1ec2025d/index.m3u8
TVBS精采台,http://176868.cloud/efd290661292c58e15f826bc84dacc72/ea967d623d200d0ff4e50afcadd7b58e/308acab20ea83cb4e5d9bd3ee68fba98/index.m3u8
TVBS精采台,http://176868.cloud/f59c57a732777e1e32fab3ce46fce445/ea967d623d200d0ff4e50afcadd7b58e/206123db417b360e50b251a51d9bb9fc/index.m3u8
