星視界-大陆央视,#genre#
公视戏剧,https://api.btbt.im/live?id=gsxj
影迷数位纪实台,https://api.btbt.im/live?id=ymswjst
影迷数字电影台,https://api.btbt.im/live?id=fans-cinema
视纳华仁纪实频道,https://api.btbt.im/live?id=cnex
MTV Live HD 频道,https://api.btbt.im/live?id=mtv
ELTA 娱乐台,https://api.btbt.im/live?id=elta-ylt
新马频道,#genre#
Channel 5,https://api.btbt.im/live?id=channel-5
Channel 8,https://api.btbt.im/live?id=channel8
Channel U,https://api.btbt.im/live?id=channel-u
8TV,https://api.btbt.im/live?id=8tv
TV9,https://api.btbt.im/live?id=tv9
CM+,https://api.btbt.im/live?id=cm-plus
E乐,https://api.btbt.im/live?id=singtel-tv
TV1,https://api.btbt.im/live?id=tv1-my
TV2,https://api.btbt.im/live?id=tv2-my
TV3,https://api.btbt.im/live?id=tv3-my
ChannelNewsAsia,https://api.btbt.im/live?id=channelnewsasia
OKEY,https://api.btbt.im/live?id=okey
TVB Magic,https://api.btbt.im/live?id=tvb-magic
tvN Movies,https://api.btbt.im/live?id=tvn-movies
AXN,https://api.btbt.im/live?id=axn
TV Alhijrah,https://api.btbt.im/live?id=tv-alhijrah
ColorsHindi,https://api.btbt.im/live?id=colorshindi
TVS,https://api.btbt.im/live?id=tvs
tvN,https://api.btbt.im/live?id=tvn
BeritaRTM,https://api.btbt.im/live?id=beritartm
SukanRTM,https://api.btbt.im/live?id=sukanrtm
HITSMovies,https://api.btbt.im/live?id=hitsmovies
ShowCase,https://api.btbt.im/live?id=showcase
BBCEarth,https://api.btbt.im/live?id=bbcearth
Mediacorp Suria,https://api.btbt.im/live?id=mediacorp-suria
Mediacorp Vasantham,https://api.btbt.im/live?id=mediacorp-vasantham
Gem,https://api.btbt.im/live?id=gem
GlobalTrekker,https://api.btbt.im/live?id=globaltrekker
DramaSangat,https://api.btbt.im/live?id=dramasangat
SunTV,https://api.btbt.im/live?id=suntv
SunMusic,https://api.btbt.im/live?id=sunmusic
SunNews,https://api.btbt.im/live?id=sunnews
AwesomeTV,https://api.btbt.im/live?id=awesometv
DidikTV7,https://api.btbt.im/live?id=didiktv7
Adithya,https://api.btbt.im/live?id=adithya
KTVHD,https://api.btbt.im/live?id=ktvhd
SunLife,https://api.btbt.im/live?id=sunlife
StarVijay,https://api.btbt.im/live?id=starvijay
ColorsTamil,https://api.btbt.im/live?id=colorstamil
ZeeTamil,https://api.btbt.im/live?id=zeetamil
ZeeCinemaHD,https://api.btbt.im/live?id=zeecinemahd
Boo,https://api.btbt.im/live?id=boo
MTVLive,https://api.btbt.im/live?id=mtvlive
Bernama,https://api.btbt.im/live?id=bernama
Moonbug,https://api.btbt.im/live?id=moonbug
新加坡StarHub系列,#genre#
Hub都会,https://api.btbt.im/live?id=HubECity
Hub娱家,https://api.btbt.im/live?id=HubVVDrama
HubSports 1,https://api.btbt.im/live?id=hubsports1
HubSports2,https://api.btbt.im/live?id=hubsports2
HubSports3,https://api.btbt.im/live?id=hubsports3
HubSport4,https://api.btbt.im/live?id=hubsports4
HubSports Plus,https://api.btbt.im/live?id=hubsports-plus
Hub Premier 1,https://api.btbt.im/live?id=hubpremier1
HubPremier2,https://api.btbt.im/live?id=hubpremier2
HubPremier3,https://api.btbt.im/live?id=hubpremier3
HubPremier 4,https://api.btbt.im/live?id=hubpremier4
HubPremier 5,https://api.btbt.im/live?id=hubpremier5
Hub Sensasi,https://api.btbt.im/live?id=hub-sensasi
tvn HD,https://api.btbt.im/live?id=tvnhd
AstroWarna Hub版,https://api.btbt.im/live?id=astro-warna-hub
ONEMalay,https://api.btbt.im/live?id=one-malay
马来西亚Astro系列,#genre#
Astro AEC,https://api.btbt.im/live?id=astro-aec
Astro 欢喜台,https://api.btbt.im/live?id=astro-huaheedai
Astro SuperSport,https://api.btbt.im/live?id=super-sports1
Astro SuperSport 2,https://api.btbt.im/live?id=super-sports2
Astro SuperSport 3,https://api.btbt.im/live?id=super-sports3
Astro SuperSport 4,https://api.btbt.im/live?id=super-sports4
Arena Bola,https://api.btbt.im/live?id=arena-bola
Arena Bola2,https://api.btbt.im/live?id=arena-bola2
Astro 爱奇艺,https://api.btbt.im/live?id=astro-iqiyi
Astro AOD 311 国语,https://api.btbt.im/live?id=astro-aod
Astro AOD 311 粤语,https://api.btbt.im/live?id=astro-aod-311-hk
Astro QJ,https://api.btbt.im/live?id=astro-quanjia
Astro Awani,https://api.btbt.im/live?id=astro-awani
Astro Arena HD,https://api.btbt.im/live?id=astro-arena-hd
Astro Arena 2,https://api.btbt.im/live?id=astro-arena2
Astro Citra,https://api.btbt.im/live?id=astro-citra
Astro Prima,https://api.btbt.im/live?id=astro-prima
Astro Aura,https://api.btbt.im/live?id=astro-aura
Astro RIA,https://api.btbt.im/live?id=astro-ria
Astro ONE,https://api.btbt.im/live?id=astro-one
AstroPremier,https://api.btbt.im/live?id=astropremier
Astro Ceria,https://api.btbt.im/live?id=astro-ceria
Astro Vaanavil,https://api.btbt.im/live?id=astro-vaanavil
Astro Vinmeen,https://api.btbt.im/live?id=astro-vinmeen
Astro Warna,https://api.btbt.im/live?id=astro-warna
Astro Vellithirai,https://api.btbt.im/live?id=astro-vellithirai
Astro Rania,https://api.btbt.im/live?id=astro-rania
Astro Oasis,https://api.btbt.im/live?id=astro-oasis
Astro TUTOR TV,https://api.btbt.im/live?id=astro-tutor-tv
Astro GolfChannel,https://api.btbt.im/live?id=astro-golfchannel
体育竞技,#genre#
beIN Sports,https://api.btbt.im/live?id=beinsports
beIN Sports 2,https://api.btbt.im/live?id=beinsports2
beIN Sports 3,https://api.btbt.im/live?id=beinsports3
ELTA 体育-1,https://api.btbt.im/live?id=elta-sport1
ELTA 体育-2,https://api.btbt.im/live?id=elta-sport2
ELTA 体育-3,https://api.btbt.im/live?id=elta-sport3
ELTA体育4台,https://api.btbt.im/live?id=elta-sport4
博斯网球,https://api.btbt.im/live?id=sportcast-tennis
博斯运动-1,https://api.btbt.im/live?id=sportcast1
博斯运动-2,https://api.btbt.im/live?id=sportcast2
博斯无限,https://api.btbt.im/live?id=sportcast-wx
博斯高球-1,https://api.btbt.im/live?id=sportcast-golf1
博斯高球-2,https://api.btbt.im/live?id=sportcast-golf2
博斯魅力,https://api.btbt.im/live?id=sportcast-meili
ESPN,https://api.btbt.im/live?id=espn
ESPN 2,https://api.btbt.im/live?id=espn2
ESPN 3,https://api.btbt.im/live?id=espn3
ESPN 4,https://api.btbt.im/live?id=espn4
myTV SUPER直播足球1台,https://api.btbt.im/live?id=mytv-super-soccer1
myTV SUPER直播足球2台,https://api.btbt.im/live?id=mytv-super-soccer2
myTV SUPER直播足球3台,https://api.btbt.im/live?id=mytv-super-soccer3
myTV SUPER直播足球4台,https://api.btbt.im/live?id=mytv-super-soccer4
myTV SUPER 18,https://api.btbt.im/live?id=mytvsuper-18
纬来体育,https://api.btbt.im/live?id=videoland-sport
NBA,https://api.btbt.im/live?id=nba
WWE,https://api.btbt.im/live?id=wwe
DAZN 1,https://api.btbt.im/live?id=eleven-sport1
DAZN 2,https://api.btbt.im/live?id=eleven-sport2
Eurosports-1,https://api.btbt.im/live?id=eurosports-1
SPOTV,https://api.btbt.im/live?id=spotv
SPOTV-2,https://api.btbt.im/live?id=spotv2
时尚运动 X,https://api.btbt.im/live?id=ssydx
GINX Esports TV,https://api.btbt.im/live?id=ginx-esports
Tech Storm,https://api.btbt.im/live?id=tech-storm
TRACE Sport Stars,https://api.btbt.im/live?id=trace-sport-stars
W-Sport,https://api.btbt.im/live?id=w-sport
PremierSports,https://api.btbt.im/live?id=premiersports
智林体育台,https://api.btbt.im/live?id=zl-sports
欧美频道,#genre#
新时代电视,https://api.btbt.im/live?id=fairchildtv
新时代电视二台,https://api.btbt.im/live?id=fairchildtv2
城市电视,https://api.btbt.im/live?id=talentvisiontv
HBO HD,https://api.btbt.im/live?id=hbo-hd
HBO Hits HD,https://api.btbt.im/live?id=hbo-hits-hd
HBO Family HD,https://api.btbt.im/live?id=hbo-family
HBO Signature HD,https://api.btbt.im/live?id=hbo-signature
Cinemax,https://api.btbt.im/live?id=cinemax
CNN International,https://api.btbt.im/live?id=cnn-international
好莱坞电影,https://api.btbt.im/live?id=hollywood-movie
ROCK Action,https://api.btbt.im/live?id=rock-action
ROCK Entertainment,https://api.btbt.im/live?id=rock-entertaiment
Bloomberg,https://api.btbt.im/live?id=bloomberg
amc 最爱电影,https://api.btbt.im/live?id=amc-movie
美国中文电视,https://api.btbt.im/live?id=sinovision
Lifetime 娱乐频道,https://api.btbt.im/live?id=lifetime
HLN,https://api.btbt.im/live?id=cnn-hln
fun 探索娱乐台,https://api.btbt.im/live?id=festival4k
Euronews,https://api.btbt.im/live?id=euronews
MyCinema Europe HD,https://api.btbt.im/live?id=mycinema-europe
VOA 美国之音,https://api.btbt.im/live?id=voa
DW 德国之声,https://api.btbt.im/live?id=dw
ABC News,https://api.btbt.im/live?id=abc-news
BBC World News,https://api.btbt.im/live?id=bbc-world-news
CNBC,https://api.btbt.im/live?id=cnbc
大陆地方,#genre#
上海都市,https://api.btbt.im/live?id=shds
上海新闻,https://api.btbt.im/live?id=shxw
五星体育,https://api.btbt.im/live?id=wxty
劲爆体育,https://api.btbt.im/live?id=jbty
广东体育,https://api.btbt.im/live?id=gdty
第一财经,https://api.btbt.im/live?id=yicai
辽宁体育,https://api.btbt.im/live?id=lnty
天津体育,https://api.btbt.im/live?id=tjty
广东珠江,https://api.btbt.im/live?id=gdzj
河南梨园,https://api.btbt.im/live?id=hnly
辽宁都市,https://api.btbt.im/live?id=lnds
辽宁影视,https://api.btbt.im/live?id=lnys
黑龙江都市,https://api.btbt.im/live?id=hljds
广州综合,https://api.btbt.im/live?id=gzzh
广州影视,https://api.btbt.im/live?id=gzys
广州竞赛,https://api.btbt.im/live?id=gzjs
广东影视,https://api.btbt.im/live?id=gdys
广东新闻,https://api.btbt.im/live?id=gdxw
广东民生,https://api.btbt.im/live?id=gdms
广东少儿,https://api.btbt.im/live?id=gdse
少儿动画,#genre#
迪士尼频道,https://api.btbt.im/live?id=disney
Animax 卡通,https://api.btbt.im/live?id=animax-cartoon
DreamWorks 梦工厂动画,https://api.btbt.im/live?id=dreamworks
小尼克频道,https://api.btbt.im/live?id=nick-jr
尼克儿童频道,https://api.btbt.im/live?id=nickelodeon
MOMO 亲子台,https://api.btbt.im/live?id=momo-kids
东森幼幼台,https://api.btbt.im/live?id=ebc-yoyo
CN卡通,https://api.btbt.im/live?id=cn-cartoon
靖天卡通台,https://api.btbt.im/live?id=jtkt
靖天育乐台,https://api.btbt.im/live?id=jtyl
i-Fun 动漫台,https://api.btbt.im/live?id=i-fun
ELTV生活英語台,https://api.btbt.im/live?id=eltv
Boomerang HD,https://api.btbt.im/live?id=boomerang-hd
靖洋卡通 NiceBingo,https://api.btbt.im/live?id=nice-bingo
达文西频道,https://api.btbt.im/live?id=da-vinci
人文旅游自然,#genre#
探索频道,https://api.btbt.im/live?id=discovery
探索科学频道,https://api.btbt.im/live?id=discovery-sci
探索亚洲频道,https://api.btbt.im/live?id=discovery-asia
DMAX,https://api.btbt.im/live?id=dmax
History 频道,https://api.btbt.im/live?id=history
History-2 频道,https://api.btbt.im/live?id=history-2
Love Nature,https://api.btbt.im/live?id=love-nature
国家地理 野生频道,https://api.btbt.im/live?id=natgeo-wild
民视旅游,https://api.btbt.im/live?id=ftv-travel
美食星球频道,https://api.btbt.im/live?id=food-planet
EYE 旅游台,https://api.btbt.im/live?id=eye-travel
ELTA 生活旅游台,https://api.btbt.im/live?id=elta-lifetravel
车迷TV,https://api.btbt.im/live?id=motorvision
动物星球频道,https://api.btbt.im/live?id=animal-planet
TLC 旅游生活頻道,https://api.btbt.im/live?id=tlc
亚洲旅游台,https://api.btbt.im/live?id=asia-travel
Asian Food Network,https://api.btbt.im/live?id=asian-food-network
CI 罪案侦查频道,https://api.btbt.im/live?id=ci
滚动力 rollor,https://api.btbt.im/live?id=rollor
LUXE TV Channel,https://api.btbt.im/live?id=luxe-tv
日韩频道,#genre#
NHK General,https://api.btbt.im/live?id=nhk-g
NHK Education,https://api.btbt.im/live?id=nhk-e
日本电视台,https://api.btbt.im/live?id=nippon-tv
TBS TV,https://api.btbt.im/live?id=tbs-tv
富士电视台,https://api.btbt.im/live?id=fujitv
朝日电视台,https://api.btbt.im/live?id=tv-asahi
东京电视台,https://api.btbt.im/live?id=tv-tokyo
JSPORTS 1,https://api.btbt.im/live?id=jsports1
JSPORTS 2,https://api.btbt.im/live?id=jsports2
JSPORTS 3,https://api.btbt.im/live?id=jsports3
JSPORTS 4,https://api.btbt.im/live?id=jsports4
KBS 1,https://api.btbt.im/live?id=kbs-1
KBS 2,https://api.btbt.im/live?id=kbs-2
KBS Drama,https://api.btbt.im/live?id=kbs-drama
KBS Story,https://api.btbt.im/live?id=kbs-story
KBS Life,https://api.btbt.im/live?id=kbs-life
KBS Joy,https://api.btbt.im/live?id=kbs-joy
KBS Kids,https://api.btbt.im/live?id=kbs-kids
KBSWorld,https://api.btbt.im/live?id=kbsworld
KBS NEWS,https://api.btbt.im/live?id=kbs-news
SBS,https://api.btbt.im/live?id=sbs
SBS Plus,https://api.btbt.im/live?id=sbs-plus
SBS funE,https://api.btbt.im/live?id=sbs-fune
SBS M,https://api.btbt.im/live?id=sbs-m
